,tweet,Date
22,"SHLX Shell Midstream Partners, LP Message Board Posts
http://dlvr.it/D9jbzZ

$SHLX $BTFL $GOOG $AAPL #SHLX #stock #finance",2016-01-03
23,"How's that 
@Carl_C_Icahn
 self interested push and plan for stock buyback $AAPL?",2016-01-03
24,#Pipsfinder Story: #Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - … … ,2016-01-03
25,RT https://twitter.com/DayTradeWarrior/status/683793976747552768… Paper #Trading Simulator | Learn to Trade Like a Pro!http://bit.ly/1OP8zDX $AAPL $FB… https://pic.twitter.com/MCS7etF6VG,2016-01-03
26,#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,2016-01-03
27,#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,2016-01-03
28,#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,2016-01-03
29,#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,2016-01-03
30,This is utterly bonkers! Apple gets zero respect! Is it because of CEO Cook? $aapl,2016-01-05
31,All I want is a black string for my wrist that keeps track of everything & displays the info on my iPhone - #AAPL,2016-01-05
32,"Replying to 
@HaroldHawkins8",2016-01-05
33,Tablo brings live TV and OTA DVR capabilities to Apple TV http://dlvr.it/DBhFFT #Macworld $AAPL,2016-01-05
34,"#Important Stocks News Analysis: Apple (NASDAQ:AAPL), NCR (NYSE:NCR), Opko ... - http://appleworld.xyz/important-stocks-news-analysis-apple-nasdaqaapl-ncr-nysencr-opko/…",2016-01-05
35,"$SPY $AAPL 341 stocks appeared death cross 2016-01-05 more info, please check http://options-er.herokuapp.com/death",2016-01-05
36,"$SPY $AAPL 34 stocks appeared golden cross 2016-01-05 more info, please check http://options-er.herokuapp.com/golden",2016-01-05
37,"Remember that time when 40 months passed and Apple's stock price went nowhere? 
$AAPL",2016-01-05
38,"T3 Live Daily Recap: Looking For Direction
http://viralmarketnews.com/t3-live-daily-recap-looking-for-direction/…
$SPY $USO $XLE $WMT $TGT $FIT $AMZN $GOOGL $FB $BABA $BIDU $AAPL",2016-01-05
39,Pro: Street estimates on Apple need to come down $AAPL http://wlst.com http://video.cnbc.com/gallery/?video=3000474503…,2016-01-05
40,"#Apple Suppliers Drop Globally After #IPhone Output Cut Report by #Nikkei http://bloom.bg/1ZNoxpO via 
@technology
 $AAPL",2016-01-06
41,Do you know that #WallStreet price for $AAPL is $148 https://unicornbay.com/t/AAPL.US?utm_medium=tweet&utm_campaign=wallstreet&utm_source=twitter…,2016-01-06
42,Junior analyst trying to figure out $AAPL supply chain,2016-01-06
43,"$AAPL stock trades at  five times the company’s earnings b4 interest, taxes, depreciation, amortization, excluding  huge cash holdings.",2016-01-06
44,"$EPGL Short Sales Updated Wednesday, January 6, 2016 6:41:20 PM $GROC $GNPT $AAPL $GNPT http://dlvr.it/DC9yh9",2016-01-06
45,"$USMJ Stock Forum Updated Wednesday, January 6, 2016 6:41:20 PM $AXXE $GDAR $AAPL $TDCP",2016-01-06
46,"$AWGI Percent Change Updated Wednesday, January 6, 2016 6:41:20 PM $QLTS $AAPL $PMCB $USMJ",2016-01-06
47,Five Alarm Freebie Alert: Twitchy Classic 'Super Hexagon' Currently Free on the App Store http://dlvr.it/DC9xgj #TouchArcade $AAPL,2016-01-06
48,Got to pay the big dogs before the rug is pulled $AAPL,2016-01-06
49,$AAPL: NEW VIDEO --- http://stks.co/h3ieG,2016-01-06
50,$AAPL fib chart #Stocks #OnWatch #Apple,2016-01-07
51,"$T News Updated Thursday, January 7, 2016 6:07:17 PM $AAPL $XLK $SSN $M http://dlvr.it/DCgpyx",2016-01-07
52,After-hours buzz: $TCS $GPS $URBN $BBBY $AAPL ....,2016-01-07
53,After-hours buzz: $TCS $GPS $URBN $BBBY $AAPL ....,2016-01-07
54,Hey $AAPL how about doing something with all that cash? Jezus...,2016-01-07
55,"GOLDMAN: These 9 stocks are the best value on the market (NRG, WRK, AAPL, F, HOG, UAL, MRO, R, KMI) http://ift.tt/1kQwIlA",2016-01-07
56,"Everyone is calling for $AAPL to $80. See why technically, but what's the fundamental thesis for the company to lose $200 BILLION in cap?",2016-01-07
57,"Just as ""Apple Factories in China"" also make non-Apple products, ""iPhone suppliers"" also supply non-iPhone components $AAPL $CRUS $QRVO",2016-01-07
58,#iPhone6S #Smartphone – Apple Inc. (AAPL) Shares Trading Below $100 : The shares of Apple Inc. (... http://bit.ly/1RwnnMD #f1 #Formula1,2016-01-07
59,published theoretical long model calling for sale of $AAPL prior to Jan 4 open http://seekingalpha.com/article/3787426-the-best-24-stocks-for-2016…,2016-01-07
60,"Apple Inc. (AAPL): Stock Below $100, Should you be Worried?: 
Apple Inc. (AAPL): Stock Below $100, Should you ... http://bit.ly/1kTKXWS",2016-01-08
61,CES 2016: 5 of our favorite new accessories http://dlvr.it/DD8wlt #AppAdvice $AAPL,2016-01-08
62,Apple is trying to decide between 3 different designs for the iPhone 7 (AAPL) http://businessinsider.com/apple-testing-3-different-designs-for-iphone-7-2016-1…,2016-01-08
63,"Hi5 to my favorite Texan 
@PatrickMoorhead
 for talking $AAPL HomeKit. I owe him a plate of beef ribs at 
@ironworksbbq
 http://cnb.cx/1VRvK62",2016-01-08
64,"@NFL
 to live-stream all London games, in talks with Apple, Google | Reuters http://reut.rs/1TKrlka $AAPL $GOOGL",2016-01-08
65,Apple's outperform rating reiterated at Credit Suisse. $140.00 PT. http://ift.tt/1Oh9Q7o $AAPL #AAPL,2016-01-08
66,"$SPY $AAPL 254 stocks are in upward trend 2016-01-08 more info, please check http://options-er.herokuapp.com",2016-01-08
67,"$SPY $AAPL 69 stocks appeared death cross 2016-01-08 more info, please check http://options-er.herokuapp.com/death",2016-01-08
68,"$SPY $AAPL 20 stocks appeared golden cross 2016-01-08 more info, please check http://options-er.herokuapp.com/golden",2016-01-08
69,"$RLTR Stock Message Board Updated Friday, January 8, 2016 6:42:45 PM $COWI $DCAC $HCTI $AAPL",2016-01-08
70,"#DellXPS13 #SurfaceBook – Best Laptops for 2016: Dell XPS 13, Microsoft Surface Book, Apple Mac... http://bit.ly/1ZjmLQz #macbook #AAPL",2016-01-09
71,"#MacBookAir #OSX – Macbook Pro 2016 Release Date, Specs: Everything You Should Know! : No Apple... http://bit.ly/1RBpFdw #macbook #AAPL",2016-01-09
72,"$AAPL 
'Failed’ Apple Watch & 'dead’ Mac will be more than 2x $FB revenue in 2015 and nearly 50% of $GOOGL revenue in 2015. 

Source: CML",2016-01-09
73,"""The 4 biggest challenges facing Apple's rumored wireless earbuds (AAPL)"" http://feedly.com/k/1ObsG1F",2016-01-09
74,Canaccord: Apple Worth $146 $AAPL  http://benzinga.com/z/6128370,2016-01-09
75,Use at least one thing : the daily resistance explained here  http://angeldanjournal.blogspot.com/2016/01/rai-long-on-very-weak-market.html… $AAPL $FB $CNET $WDW $TWTR $SPY $QQQ $LNKD $EARS $SSN,2016-01-09
76,"Apple developing revamped, cord-free Beats with charging case ahead of iPhone 7 http://flip.it/r8.VW $aapl",2016-01-09
77,"Apple, Facebook, <b>Twitter</b> meeting feds to talk terrorists on social media: Apple (AAPL… http://goo.gl/fb/sTpMq5",2016-01-09
78,$AAPL Max Pain is 110.00 for maturity 01/15/2016.  Price = 96.96. http://maximum-pain.com/max-pain.aspx?s=AAPL&e=01/15/2016…,2016-01-09
79,I think AAPL acquiring TSLA could and should happen sooner rather then later. 40 billion would barely dent their stack of cash. Makes sense,2016-01-09
80,#iOS #App – Every iPhone User Needs To Have These 22 Amazing Apps to Make Life Easier – The mobi... http://bit.ly/1VXsh60 #iPhone #AAPL,2016-01-10
81,It's a well-known fact that #appleisdoomed $AAPL,2016-01-10
82,Aapl giveaway RT : Happy BDay beautiful!!!  Shakur thank you for the support over the years... I…  https://twitter.com/LakesideTT/status/686333094094323712…,2016-01-10
83,Apple’s #AAPL long growth rate is slowing - visit post: http://gettingtechnicalinfo.blogspot.ca,2016-01-10
84,AAPL - Food for thought.  $AAPL,2016-01-10
85,Apple Inc. (AAPL) iPhone 7 Gets Wireless Beats Headphones $AAPL #Apple #iPhone7 http://learnbonds.com/125955/apple-inc-aapl-iphone-7-gets-wireless-beats-headphones/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitterUpdated…,2016-01-10
86,The Week Ahead: Apocalypse...When? $AAPL http://dlvr.it/DDyZQC,2016-01-10
87,"How I shorted $FB for over $2,097 gain in one morning in details here http://angeldanjournal.blogspot.com/2016/01/i-did-it-for-money-big-shortfb.html?m=1… $AAPL $CLF $RACE $TWTR",2016-01-10
88,SPOTIFY: We had 'our fastest subscriber growth ever' in the second half of 2015 (AAPL),2016-01-10
89,In 3 months Apple Music has 10M paying subscribers. Huge growth. $aapl,2016-01-10
90,Evolution of the iPhone $AAPL,2016-01-11
91,#FacebookMessenger #App – Facebook Messenger app for Mac could soon become a reality – Facebook... http://bit.ly/1mRQ5g3 #macbook #AAPL,2016-01-11
92,"Peak Shenanigan: Peak Apple from delirious emcees on wall st media. 
$AAPL",2016-01-11
93,"Replying to 
@montoyan",2016-01-11
94,$AAPL Elon Musk Says Apple's Electric Car Project is an 'Open Secret' $TSLA http://stks.co/d37Km,2016-01-11
95,Piper Jaffray Reiterates Overweight Rating for Apple Inc. (AAPL): Apple logo Apple Inc. (NASDAQ:AAPL)'s stock ... http://bit.ly/1P4Vzdf,2016-01-11
96,$aapl Mizuho analyst upgrades Apple to ‘buy’ http://stks.co/c37QF,2016-01-11
97,"iOS 9.3 Gallery & Feature List: Night Shift, New 3D Touch features, updated Health app, Notes Touch… http://dlvr.it/DFSsLx #9to5Mac $AAPL",2016-01-11
98,"$SPY $AAPL 1339 stocks are in downward trend 2016-01-11 more info, please check http://options-er.herokuapp.com",2016-01-11
99,"$SPY $AAPL 223 stocks are in upward trend 2016-01-11 more info, please check http://options-er.herokuapp.com",2016-01-11
100,"$CYBR how did i miss that wave 5 truncation , one of the next 10X like $AAPL or GOOGL in 2000's ; someone takin acquiring it for peanuts!",2016-01-12
101,"Replying to 
@dailydirtnap",2016-01-12
102,"""iOS 9 now running on 75% of active iPhones and iPads"" $AAPL http://feedproxy.google.com/~r/TheIphoneBlog/~3/7MlDkQqTvE8/story01.htm…",2016-01-12
103,Tech Companies Will Take Over The Automotive Industry http://swedishtechinvestor.com/2015/03/tech-companies-will-take-over.html… #Mercedes #BMW $TECH $GOOG $AAPL $TSLA,2016-01-12
104,"Emily Chang (Bloom West) forgot (FUD?) to mention that Gartner data showed Lenovo LOSING unit pc shipments while Apple gained, yoy. $AAPL",2016-01-12
105,".
@BofAML
: ups #Apple to Buy, tgt $130; negatives now discounted, bullish on launch of new watch, iPhone6C, cap return update, iPhone7 $AAPL",2016-01-12
106,Apple Watch took 52% Market Share in 2015 while all Android Watches Combined took less than… http://dlvr.it/DFzvBp #PatentlyApple $AAPL,2016-01-12
107,"PR: THAT DRAGON, CANCER LAUNCHES; RAZER TO DONATE PROCEEDS FROM THE GAME TO CHARITY $AAPL http://tweaktown.com/pressrelease/10409/dragon-cancer-launches-razer-donate-proceeds-game-charity/index.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=camwilmot…",2016-01-12
108,"PR: THAT DRAGON, CANCER LAUNCHES; RAZER TO DONATE PROCEEDS FROM THE GAME TO CHARITY $AAPL http://tweaktown.com/pressrelease/10409/dragon-cancer-launches-razer-donate-proceeds-game-charity/index.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=tweaktown…",2016-01-12
109,$aapl about to get on $100 in the AH session.,2016-01-12
110,"$AAPL Mass Production Of New APPLE TV Delayed, DIGITIMES",2016-01-13
111,Or is $AAPL seriously content with devs building for android first because everyone is fed up with their stone-age app store?,2016-01-13
112,"Remember all those stock gurus in a raging bull market who told you to buy GPRO, AMBA, AAPL, TWTR. Did they tell you when to sell?",2016-01-13
113,There's already >5 startups working on pushing updates to React Native apps without needing the app store. How long until $AAPL buys one?,2016-01-13
114,$AAPL is looking undervalued with a PE ratio of 10.8x https://simplywall.st/NasdaqGS:AAPL?utm_source=top100&utm_medium=twitter&utm_content=2&utm_campaign=PE_PEG_gauge…,2016-01-13
115,Is This Company About to Become Apple Inc.'s Latest Supplier?: The notion that Apple (NASDAQ:AAPL) will finall... http://wxhm.a.boysofts.com/1EBm,2016-01-13
116,"$PZOO begins generating revenue! 

https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.newcannabisventures.com%2Fcannabis-quality-assurance-leader-steep-hill-lands-2mm-in-additional-funding-from-several-investors%2F&h=AAQE3FLSS…

#stocks #cannabis 

https://morningstar.com/news/pr-news-wire/PRNews_20151109PH51473/pazoo-begins-generating-consulting-based-revenue-with-the-signing-of-operational-advisory-agreement-for-denver-colorado-testing-lab.html…

#hemp #AAPL #SpecialReport",2016-01-13
117,$AAPL Apple watch claims over 50% of 2015 smartwatch market in less than a year of sales,2016-01-13
118,DOW went from +77 to minus 364  $fb $aapl,2016-01-13
119,"$SPY $AAPL 1417 stocks are in downward trend 2016-01-13 more info, please check http://options-er.herokuapp.com",2016-01-13
120,#iOS9 #Software – New iOS 9.3 tweak will help prevent you from racking up overage charges – Apple ... http://bit.ly/1Zy36wx #iPad #AAPL,2016-01-14
121,"#iOS9 #WatchOS2 – iOS 9.3, watchOS 2.2 Auto Switch Feature Comes Handy If You Own Several Apple Wa... http://bit.ly/1laDbIg #iPad #AAPL",2016-01-14
122,"#iOS10 #iOS – iOS 10 Features and Improvements – What Are The New Changes?: At this moment, Apple ... http://bit.ly/1n2tzRB #iPad #AAPL",2016-01-14
123,#GalaxyTabProS #iPadAir3 – Galaxy TabPro S vs iPad Air 3: 12-inch tablets go head to head – With t... http://bit.ly/1RPDNjf #iPad #AAPL,2016-01-14
124,#Beautiful #App – The 11 Amazing Paid iPhone and iPad apps on sale for free download in App Store ... http://bit.ly/1RH9aOM #iPad #AAPL,2016-01-14
125,"""How many nuts do you wanna stash?""
""About $200 billion dollars worth!""

$AAPL",2016-01-14
126,The Week in iPhone Cases: Crank your own power with Ampware's latest battery case http://dlvr.it/DH28w9 #Macworld $AAPL,2016-01-14
127,Apple follows Microsoft out of the advertising business (AAPL) http://tinyurl.com/httzudt,2016-01-14
128,$AAPL Apple shareholder proposal calls for net-zero greenhouse emissions http://bit.ly/1lbHwLn @MaximumPenny,2016-01-14
129,"XLY Consumer Discretionary Select Sector SPDR 52Wk Low
http://dlvr.it/DH1zw6

$XLY $HVU.TO $RSX $AAPL #XLY #pennystocks #tradeideas",2016-01-14
130,"Vontobel Asset Management Purchases $200,905,000 in Apple Inc. $AAPL Shares http://ift.tt/1Qc6zLf",2016-01-15
131,Apple Inc. (AAPL) Given Buy Rating at JPMorgan Chase & Co.: Apple Inc. logo JPMorgan Chase & Co. reaffirmed th... http://bit.ly/1lfS4sE,2016-01-15
132,Apple Inc. (AAPL) Given Buy Rating at JPMorgan Chase & Co.: Apple Inc. logo JPMorgan Chase & Co. reaffirmed th... http://pwzn.a.boysofts.com/LDC,2016-01-15
133,"Vontobel Asset Management Purchases $200,905,000 in Apple Inc. $AAPL Shares http://ift.tt/1Qc6zLf",2016-01-15
134,Apple Inc. (AAPL) and Alphabet (GOOG) In Talks to Stream 3 NFL... http://goo.gl/fb/irphSd,2016-01-15
135,"Nintendo's First Mobile Game Releases in March, More With ""Famous Characters"" in 2016 http://dlvr.it/DHXfrQ #TouchArcade $AAPL",2016-01-15
136,"$SPY $AAPL 1435 stocks are in downward trend 2016-01-15 more info, please check http://options-er.herokuapp.com",2016-01-15
137,"$SPY $AAPL 124 stocks are in upward trend 2016-01-15 more info, please check http://options-er.herokuapp.com",2016-01-15
138,"$SPY $AAPL 32 stocks appeared death cross 2016-01-15 more info, please check http://options-er.herokuapp.com/death",2016-01-15
139,"$SPY $AAPL 35 stocks appeared golden cross 2016-01-15 more info, please check http://options-er.herokuapp.com/golden",2016-01-15
140,Apple: How To Generate 10% To 21% Annualized Return: Apple AAPL -2.06%'s shares were up last week when the ove... http://wxhm.a.boysofts.com/1EcK,2016-01-16
141,Apple: How To Generate 10% To 21% Annualized Return: Apple AAPL -2.06%'s shares were up last week when the ove... http://wxhm.a.boysofts.com/1EcI,2016-01-16
142,"ZEM.TO BMO Emerging Markets Equity Index ETF News
http://dlvr.it/DHzBSn

$ZEM.TO $XLK $ERY $AAPL #ZEM.TO #pennystocks #stock",2016-01-16
143,"SH ProShares Short S&P 500 Fund Short Sales
http://dlvr.it/DHz3lQ

$SH $AAL $RY.TO $AAPL #SH #nasdaq #investing",2016-01-16
144,"RHT Red Hat, Inc. Quotes
http://dlvr.it/DHz3ts

$RHT $AGG $AUY $AAPL #RHT #pennystocks #investing",2016-01-16
145,H&S or Bounce?: H&S or Bounce? APPLE INC NASDAQ:AAPL BreakoutTheory Two ways to look at this chart. H&S patter... http://bit.ly/1ZElG65,2016-01-16
146,How Low Can Oil Go? http://ift.tt/1OxOgeI http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-16
147,"D/UN.TO Dream Office Real Estate Investment Trust Short Sales
http://dlvr.it/DHz1Sk

$D/UN.TO $RTH $RTH $AAPL #D/UN.TO #tradeideas…",2016-01-16
148,H&S or Bounce? $AAPL,2016-01-16
149,"Iran Sanctions End: Apple, GE, Oil Giants Line Up $AAPL $GE http://wlst.com http://news.investors.com/011616-789648-aapl-rdsa-tot-iran-sanctions.htm…",2016-01-16
150,$AAPL $GOOGL $FB $AMZN $SPY $IBB http://cnbc.com/2016/01/17/stock-f…... Could be yet another rough week.,2016-01-17
151,Apple: TSMC Partnership A Path To Even Greater Smartphone Dominance $AAPL,2016-01-17
152,"What Happened in #3DPrinting in 2015 http://fool.com/investing/general/2016/01/16/what-happened-in-3d-printing-in-2015.aspx… via 
@themotleyfool
 $DDD $SSYS $AAPL",2016-01-17
153,"Oakmont Partners Has $406,000 Stake in Apple Inc. $AAPL http://ift.tt/1SqC6uk",2016-01-17
154,"_AAPL Abbott Laboratories Day Low
http://dlvr.it/DJPb0Y

$_AAPL $GOOGL $SMN $FNMA #_AAPL #finance #invest",2016-01-17
155,"Watch this #free video to learn how to have perfect execution when trading stocks! 
https://youtube.com/watch?v=JBBHbgZgYlA… $SPY $QQQ $AAPL $TVIX #daytrade",2016-01-17
156,"USO United States Oil Fund, LP Prev Close
http://dlvr.it/DJPYww

$USO $AXXE $AAPL $IBB #USO #nasdaq #invest",2016-01-17
157,"Oakmont Partners Has $406,000 Stake in Apple Inc. $AAPL http://ift.tt/1OY7KNf",2016-01-17
158,"S&P 500 Rattles cage on Major Support, What to Watch: http://daytradersgroupofamerica.com/#!sp-500-rattles-cage-on-major-support/c1tts… $SPX $SPY $QQQ $AAPL $FB $NFLX $AMZN $GOOGL $YHOO $MSFT $USO",2016-01-17
159,"JNK SPDR Barclays High Yield Bond ETF Filings
http://dlvr.it/DJPSnS

$JNK $W $HD $AAPL #JNK #nasdaq #stockmarket",2016-01-17
160,"Under Armour, Fitbit And The Wearables Market Potential Under Deeper Analysis http://seekingalpha.com/article/3816876-armour-fitbit-wearables-market-potential-deeper-analysis?source=feed_f… $AAPL #APPLE $FIT $NKE $UA",2016-01-18
161,Apple vs. AAPL http://buff.ly/1OuBJJb,2016-01-18
162,"Replying to 
@jimcramer",2016-01-18
163,"Replying to 
@rational_gov",2016-01-18
164,$AAPL received a new alert. Find out why at http://mediasentiment.com #stocks #daytrading #trading #mkt  #NYSE #NASDAQ #markets 406,2016-01-18
165,"@JamesLanza
 we own them and are holding them long term. Take your time. DCA. $aapl $tsla",2016-01-18
166,"$SPY $AAPL 124 stocks are in upward trend 2016-01-15 more info, please check http://options-er.herokuapp.com",2016-01-18
167,"$SPY $AAPL 32 stocks appeared death cross 2016-01-15 more info, please check http://options-er.herokuapp.com/death",2016-01-18
168,"$SPY $AAPL 35 stocks appeared golden cross 2016-01-15 more info, please check http://options-er.herokuapp.com/golden",2016-01-18
169,Warren Buffett Thinks The Market Is A 'Drunken Psycho'...Is It Now In Full Rage Hangover Mode? $AAPL $GPRO $SPX $SPY,2016-01-18
170,#AAPL Stock: Is Apple Inc. the Next GoPro Inc? http://ezpopular.com/aapl-stock-is-apple-inc-the-next-gopro-inc/…,2016-01-19
171,"$GPRO $FIT $YHOO $AAPL 
Steady falling, possible *Knight Recovery* pattern",2016-01-19
172,#AAPL Stock: Is Apple Inc. the Next GoPro Inc? http://ezpopular.com/aapl-stock-is-apple-inc-the-next-gopro-inc/…,2016-01-19
173,"Stock Market Recap for Jan19th 2016 Need Follow through
http://viralmarketnews.com/stock-market-recap-for-jan19th-2016-need-follow-through/…
$AAPL $PCLN $NFLX $TWTR $GOOGL",2016-01-19
174,#AAPL Stock: Is Apple Inc. the Next GoPro Inc? http://ezpopular.com/aapl-stock-is-apple-inc-the-next-gopro-inc/…,2016-01-19
175,"Apple’s Full Court Press on China’s Most Intense Battleground for 2016 
Or the Smartphone Players 
http://brandinginasia.com/apple-full-court-press-china/… $AAPL",2016-01-19
176,Ford: Income Ideas $FB $AAPL #stocks #trading #investing #F http://wlst.com http://seekingalpha.com/article/3819706-ford-income-ideas…,2016-01-19
177,AIG: Where's The Beef? http://ift.tt/20daY3k http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-19
178,Are Macau's VIP Gamblers Gone For Good? http://ift.tt/20d87r5 http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-19
179,Secure Your Portfolio With http://Alarm.com http://ift.tt/1SvhssT http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-19
180,"Stock Market Recap for Jan 20th 2016 Need Follow through
http://viralmarketnews.com/stock-market-recap-for-jan-20th-2016-need-follow-through/…
$AAPL $FB $NFLX $IBM $TWTR",2016-01-20
181,"$AAPL Daily
per your request 
@samy42
https://tradingview.com/x/QGSAUCjV/ via http://tradingview.com",2016-01-20
182,NVE (NVEC) Q3 2016 Results - Earnings Call Webcast http://ift.tt/1nyGOtd http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-20
183,Netflix: Curb Your Enthusiasm http://ift.tt/1lwGNo3 http://investwall.com #stocks #trading #investing $FB $AAPL,2016-01-20
184,"$VXX Investor Opinions Updated Wednesday, January 20, 2016 5:59:25 PM $VZ $TBT $XBI $AAPL http://dlvr.it/DL0MWP",2016-01-20
185,Another new kernel flaw that Google won't fix for Android users prompts… http://dlvr.it/DL0JBx #AppleInsider $AAPL,2016-01-20
186,"$SPY $AAPL 0 stocks appeared golden cross 2016-01-20 more info, please check http://options-er.herokuapp.com/golden",2016-01-20
187,"OK, folks who asked us via #Periscope in NYC about $AAPL, here's a stock tip for you from L.A. (at 2:20) ...",2016-01-20
188,Apple's (AAPL) Buy Rating Reiterated at Nomura: Apple Inc. logo Nomura reissued their buy rating on shares of ... http://bit.ly/1V9A3sA,2016-01-20
189,Why Apple Wants to Get Into India So Bad -- Tech Roundup: Everyone knows Apple's (AAPL - Get Report) devices a... http://bit.ly/1ZNvuee,2016-01-20
190,"$TPIV Stock Price Updated Thursday, January 21, 2016 5:59:25 PM $CHK $UPRO $XIV $AAPL",2016-01-21
191,"@dasan
 Ok gotcha.  I guess $AAPL as well. That's gone down 30%.",2016-01-21
192,"Tap, explore, and fight your way through Dungelot: Shattered Lands http://dlvr.it/DLXhb2 #AppAdvice $AAPL",2016-01-21
193,"Apple is finally getting serious about India, stores planned $AAPL #mobiles",2016-01-21
194,"Stock Market Recap for Jan 21th 2016 No Follow through....yet?
http://viralmarketnews.com/stock-market-recap-for-jan-21th-2016-no-follow-through-yet/…
$AAPL $NFLX $GOOGL $FB $PCLN",2016-01-21
195,"@Derrick_NOLA
 think aapl pops Tuesday?",2016-01-21
196,"Fakkkkk I should of bought $AAPL yesterday, the bastard was trading at at $94 a share....",2016-01-21
197,"ERY Direxion Daily Energy Bear 3x Shares 52Wk High
http://dlvr.it/DLXcQn

$ERY $XIV $RWM $AAPL #ERY #finance #nasdaq",2016-01-21
198,iPhone 7: Apple Inc. Exploring Ultra-Fast Li-Fi Technology http://ift.tt/20gUFCE #AAPL,2016-01-21
199,"$OIL Reviews Updated Thursday, January 21, 2016 5:59:25 PM $CMG $BIDU $XLK $AAPL",2016-01-21
200,Can Apple Inc. (AAPL) and Alphabet Inc (GOOGL) Keep the Rallies Going? http://schaeffersresearch.com/Content/news/2016/01/22/can-apple-inc-aapl-and-alphabet-inc-googl-keep-the-rallies-going?&utm_source=1%2f22%2f2016&utm_medium=email&utm_campaign=Recap&trackback=recapezine&utm_content=topheadlines… #SchaeffersResearch,2016-01-22
201,"The guy leading the Apple Car reportedly just quit (AAPL)

LinkedIn/steve-zadesky

Steve Zadesky, the 16-year...",2016-01-22
202,Our Oil ETF Call - went from 1.00 to 1.70 in1day as Navi Nails bottom. Join us http://stockmarketmojo.com/specials.html $AAPL $SPY,2016-01-22
203,"The guy leading the Apple Car reportedly just quit (AAPL), http://ift.tt/1PbIiUQ http://HydraMarkets.com",2016-01-22
204,The guy leading the Apple Car reportedly just quit (AAPL) http://ift.tt/1PbIiUQ,2016-01-22
205,The guy leading the Apple Car reportedly just quit (AAPL) http://ift.tt/1JqDMkT Matt Weinberger,2016-01-22
